"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Aaron Connolly","Brighton",1.7,"FW",0,0,0,2,6,1,0,1,5,2,0,0,0,34,NULL,NULL,NULL,NULL,NULL
"Aaron Cresswell","West Ham",30.3,"DF",2,3,5,49,209,63,155,35,67,110,76,36,3,2291,NULL,NULL,NULL,NULL,NULL
"Aaron Lennon","Burnley",17.2,"MF",2,0,5,32,64,30,17,10,83,65,13,10,15,564,NULL,NULL,NULL,NULL,NULL
"Aaron Ramsdale","Arsenal",34,"GK",0,0,1,1,88,0,1,0,0,0,2,0,2,1249,84,12,176,21,35
"Aaron Wan-Bissaka","Manchester Utd",19.9,"DF",0,0,1,31,140,22,53,14,64,132,48,19,36,1363,NULL,NULL,NULL,NULL,NULL
"Abdoulaye Doucouré","Everton",28.2,"MF",2,4,7,53,248,8,91,21,179,128,33,44,19,1389,NULL,NULL,NULL,NULL,NULL
"Adam Armstrong","Southampton",15.7,"FW",2,2,3,29,65,22,26,12,64,26,6,14,19,489,NULL,NULL,NULL,NULL,NULL
"Adam Forshaw","Leeds United",17,"MF",0,1,1,27,123,5,61,13,124,77,20,14,9,973,NULL,NULL,NULL,NULL,NULL
"Adam Idah","Norwich City",6.9,"FWMF",1,1,1,12,44,11,7,4,23,14,8,16,12,235,NULL,NULL,NULL,NULL,NULL
"Adam Lallana","Brighton",17.3,"MF",0,1,3,27,165,8,59,8,105,75,15,14,19,1120,NULL,NULL,NULL,NULL,NULL
"Adam Masina","Watford",12,"DF",0,1,1,11,69,18,32,8,45,74,41,30,8,668,NULL,NULL,NULL,NULL,NULL
"Adam Webster","Brighton",15.9,"DF",2,0,1,10,137,4,73,1,45,73,80,66,7,1314,NULL,NULL,NULL,NULL,NULL
"Adama Traoré","Wolves",11.9,"FW",1,0,2,50,74,28,23,19,42,21,2,12,61,497,NULL,NULL,NULL,NULL,NULL
"Ademola Lookman","Leicester City",16.1,"FWMF",6,0,2,40,125,22,49,22,98,71,2,4,40,794,NULL,NULL,NULL,NULL,NULL
"Ainsley Maitland-Niles","Arsenal",3,"MF",0,0,0,8,22,1,13,3,17,12,4,5,2,171,NULL,NULL,NULL,NULL,NULL
"Albert Sambi Lokonga","Arsenal",12.6,"MF",0,0,0,34,116,3,61,18,47,54,18,21,4,930,NULL,NULL,NULL,NULL,NULL
"Alejandro Garnacho","Manchester Utd",0.1,"FW",0,0,0,0,2,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL
"Alex Iwobi","Everton",22.6,"MFDF",2,2,6,62,137,30,79,35,153,113,23,9,32,1052,NULL,NULL,NULL,NULL,NULL
"Alex Král","West Ham",0,"MF",0,0,0,0,2,0,0,0,2,0,0,1,0,2,NULL,NULL,NULL,NULL,NULL
"Alex McCarthy","Southampton",17,"GK",0,0,0,1,30,0,0,1,0,0,0,0,0,546,43,5,83,17,3
"Alex Oxlade-Chamberlain","Liverpool",8.7,"MFFW",2,1,1,21,63,22,45,9,63,33,7,5,10,503,NULL,NULL,NULL,NULL,NULL
"Alex Telles","Manchester Utd",18.4,"DF",0,4,5,45,142,63,60,27,60,92,53,31,12,1379,NULL,NULL,NULL,NULL,NULL
"Alexandre Lacazette","Arsenal",19.8,"FWMF",4,7,9,65,99,7,37,24,108,45,6,22,17,664,NULL,NULL,NULL,NULL,NULL
"Alexis Mac Allister","Brighton",23.6,"MFFW",5,2,4,65,186,20,108,27,199,119,20,29,18,1400,NULL,NULL,NULL,NULL,NULL
"Alisson","Liverpool",36,"GK",0,1,1,3,96,0,0,2,3,1,1,0,2,1462,73,20,187,21,63
"Allan","Everton",24.3,"MF",0,2,6,32,156,6,106,15,204,149,40,12,16,1235,NULL,NULL,NULL,NULL,NULL
"Allan Saint-Maximin","Newcastle Utd",31.2,"FWMF",5,5,9,114,174,69,56,51,67,44,2,19,140,1222,NULL,NULL,NULL,NULL,NULL
"Alphonse Areola","West Ham",1,"GK",0,0,0,0,6,0,0,0,0,0,0,0,0,42,2,0,8,1,0
"Álvaro Fernández","Brentford",12,"GK",0,0,0,0,34,0,1,0,0,0,0,0,0,533,46,1,82,7,10
"André Gomes","Everton",6.9,"MF",0,1,2,13,46,3,21,4,51,33,3,6,12,372,NULL,NULL,NULL,NULL,NULL
"Andreas Christensen","Chelsea",16.6,"DF",0,0,0,8,149,2,69,5,51,94,87,60,6,1451,NULL,NULL,NULL,NULL,NULL
"Andrew Omobamidele","Norwich City",4.2,"DF",1,0,0,0,27,0,13,0,14,23,17,6,0,276,NULL,NULL,NULL,NULL,NULL
"Andrew Robertson","Liverpool",28.2,"DF",3,10,16,95,165,89,198,55,86,109,58,33,16,2536,NULL,NULL,NULL,NULL,NULL
"Andriy Yarmolenko","West Ham",3.5,"FW",1,0,0,7,18,5,8,3,12,6,1,4,3,149,NULL,NULL,NULL,NULL,NULL
"Andros Townsend","Everton",16.2,"MF",3,2,4,54,95,56,46,30,98,80,6,5,24,715,NULL,NULL,NULL,NULL,NULL
"Angelo Ogbonna","West Ham",10.2,"DF",1,0,1,2,41,0,10,0,16,28,38,26,0,528,NULL,NULL,NULL,NULL,NULL
"Angus Gunn","Norwich City",9,"GK",0,0,0,0,12,0,0,0,0,0,1,0,0,331,34,1,59,7,7
"Anthony Elanga","Manchester Utd",13.5,"FW",2,2,5,18,104,16,15,8,80,60,6,27,15,622,NULL,NULL,NULL,NULL,NULL
"Anthony Gordon","Everton",25.4,"MFFW",4,2,5,73,141,71,55,34,154,130,8,18,44,1154,NULL,NULL,NULL,NULL,NULL
"Anthony Martial","Manchester Utd",2.4,"FW",1,0,2,3,16,5,8,1,11,5,2,5,5,110,NULL,NULL,NULL,NULL,NULL
"Antonio Rüdiger","Chelsea",33.7,"DF",3,0,8,39,239,14,161,13,92,112,110,67,6,2759,NULL,NULL,NULL,NULL,NULL
"Anwar El Ghazi","Everton",0.1,"FW",0,0,0,0,2,1,0,0,3,4,0,0,0,14,NULL,NULL,NULL,NULL,NULL
"Anwar El Ghazi","Aston Villa",4.3,"FWMF",1,1,2,11,23,11,7,4,18,10,2,11,3,183,NULL,NULL,NULL,NULL,NULL
"Armando Broja","Southampton",21.9,"FW",6,0,3,37,146,19,18,8,112,47,8,94,31,697,NULL,NULL,NULL,NULL,NULL
"Arthur Masuaku","West Ham",7.2,"DFFW",1,1,2,6,54,20,24,3,39,47,16,13,5,475,NULL,NULL,NULL,NULL,NULL
"Ashley Barnes","Burnley",9,"FW",1,0,1,21,90,4,19,10,35,22,4,41,4,311,NULL,NULL,NULL,NULL,NULL
"Ashley Fletcher","Watford",0.3,"FW",0,0,0,2,5,0,1,0,1,3,0,2,0,15,NULL,NULL,NULL,NULL,NULL
"Ashley Westwood","Burnley",25.4,"MF",0,3,7,55,148,37,107,31,92,85,20,10,11,1405,NULL,NULL,NULL,NULL,NULL
"Ashley Young","Aston Villa",13.9,"DFFW",0,2,4,22,81,29,34,12,35,49,24,12,7,753,NULL,NULL,NULL,NULL,NULL
"Asmir Begović","Everton",3,"GK",0,0,0,0,4,0,0,0,0,0,2,0,0,96,11,1,21,3,0
"Axel Tuanzebe","Aston Villa",5.6,"DF",0,0,0,1,22,1,6,0,13,20,13,12,0,263,NULL,NULL,NULL,NULL,NULL
"Aymeric Laporte","Manchester City",31.4,"DF",4,0,4,30,202,5,198,9,63,74,78,73,3,3059,NULL,NULL,NULL,NULL,NULL
"Ayoze Pérez","Leicester City",4.9,"MFFW",2,3,2,18,50,4,20,9,33,26,3,8,8,244,NULL,NULL,NULL,NULL,NULL
"Bali Mumba","Norwich City",0.5,"DF",0,0,0,0,3,0,1,0,3,3,5,0,0,19,NULL,NULL,NULL,NULL,NULL
"Ben Chilwell","Chelsea",6,"DF",3,1,1,21,53,10,13,10,31,21,15,8,2,422,NULL,NULL,NULL,NULL,NULL
"Ben Davies","Tottenham",28.2,"DF",1,1,4,29,169,9,117,8,86,102,93,77,8,1854,NULL,NULL,NULL,NULL,NULL
"Ben Foster","Watford",26,"GK",0,1,1,7,61,0,0,2,1,0,6,0,0,926,63,4,227,16,24
"Ben Gibson","Norwich City",27.7,"DF",0,0,1,11,147,0,78,2,51,121,159,67,2,1598,NULL,NULL,NULL,NULL,NULL
"Ben Godfrey","Everton",22.5,"DF",0,0,2,31,87,14,39,13,89,122,98,51,6,1062,NULL,NULL,NULL,NULL,NULL
"Ben Johnson","West Ham",15.5,"DF",1,0,2,16,74,40,50,9,61,90,49,18,9,942,NULL,NULL,NULL,NULL,NULL
"Ben Mee","Burnley",20.4,"DF",3,0,0,8,122,3,47,2,39,91,122,92,4,974,NULL,NULL,NULL,NULL,NULL
"Ben White","Arsenal",32,"DF",0,0,1,25,193,4,90,9,82,143,114,68,7,2111,NULL,NULL,NULL,NULL,NULL
"Benjamin Mendy","Manchester City",0.9,"DF",0,0,0,4,1,4,8,2,2,1,3,2,1,94,NULL,NULL,NULL,NULL,NULL
"Bernardo Silva","Manchester City",31.7,"MFFW",8,4,13,126,251,65,87,54,143,98,26,14,50,2243,NULL,NULL,NULL,NULL,NULL
"Bernd Leno","Arsenal",4,"GK",0,0,0,0,10,0,0,0,0,0,0,0,0,125,9,1,16,2,1
"Bertrand Traoré","Aston Villa",2.4,"MFFW",0,0,2,11,15,6,10,0,5,0,1,5,10,125,NULL,NULL,NULL,NULL,NULL
"Billy Gilmour","Norwich City",20.6,"MF",0,1,1,48,139,19,93,25,101,78,32,12,15,1399,NULL,NULL,NULL,NULL,NULL
"Boubakary Soumaré","Leicester City",12.2,"MF",0,1,2,15,129,5,39,5,62,43,19,29,9,692,NULL,NULL,NULL,NULL,NULL
"Brandon Williams","Norwich City",23.6,"DF",0,1,2,31,154,18,82,19,81,141,47,22,16,1419,NULL,NULL,NULL,NULL,NULL
"Bruno Fernandes","Manchester Utd",34.6,"MF",10,6,10,145,344,82,196,88,172,112,40,23,23,2422,NULL,NULL,NULL,NULL,NULL
"Bruno Guimarães","Newcastle Utd",11.5,"MF",5,1,3,24,138,9,34,13,89,85,9,6,17,716,NULL,NULL,NULL,NULL,NULL
"Bryan","Tottenham",1,"FWMF",0,0,1,5,7,4,2,2,12,5,0,0,3,82,NULL,NULL,NULL,NULL,NULL
"Bryan Mbeumo","Brentford",32.3,"FW",4,7,12,77,164,54,49,36,138,86,21,34,35,1221,NULL,NULL,NULL,NULL,NULL
"Bukayo Saka","Arsenal",33.1,"FWMF",11,7,16,142,240,72,73,65,134,95,19,30,49,1671,NULL,NULL,NULL,NULL,NULL
"Çağlar Söyüncü","Leicester City",27.7,"DF",1,0,0,11,195,5,53,3,93,136,139,99,6,2135,NULL,NULL,NULL,NULL,NULL
"Callum Hudson-Odoi","Chelsea",10.7,"FWMF",1,2,6,51,77,26,31,24,38,24,5,5,19,505,NULL,NULL,NULL,NULL,NULL
