,player,squad,variable,value,Unnamed: 0,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
0,Cristiano Ronaldo,Manchester Utd,goals,0.782608695652174,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
1,Cristiano Ronaldo,Manchester Utd,gca,0.36,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
2,Cristiano Ronaldo,Manchester Utd,sca,0.5066666666666667,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
3,Cristiano Ronaldo,Manchester Utd,passes_under_pressure,0.3771551724137931,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
4,Cristiano Ronaldo,Manchester Utd,touches,0.31879375336564353,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
5,Danny Ings,Aston Villa,goals,0.30434782608695654,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
6,Danny Ings,Aston Villa,assists,0.46153846153846156,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
7,Danny Ings,Aston Villa,gca,0.32,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
8,Danny Ings,Aston Villa,pressures,0.40271493212669685,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
9,Danny Ings,Aston Villa,tot_def,0.24888888888888888,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
10,Maxwel Cornet,Burnley,goals,0.391304347826087,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
11,Maxwel Cornet,Burnley,gca,0.24,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
12,Maxwel Cornet,Burnley,passes_under_pressure,0.2543103448275862,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
13,Maxwel Cornet,Burnley,pressures,0.38009049773755654,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
14,Maxwel Cornet,Burnley,aerial_won,0.23391812865497075,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
15,Patson Daka,Leicester City,goals,0.21739130434782608,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
16,Patson Daka,Leicester City,assists,0.23076923076923078,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
17,Patson Daka,Leicester City,gca,0.28,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
18,Patson Daka,Leicester City,sca,0.16,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
19,Patson Daka,Leicester City,pressures,0.34841628959276016,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
20,Romelu Lukaku,Chelsea,goals,0.34782608695652173,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
21,Romelu Lukaku,Chelsea,sca,0.29333333333333333,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
22,Romelu Lukaku,Chelsea,passes_under_pressure,0.25646551724137934,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
23,Romelu Lukaku,Chelsea,pressures,0.248868778280543,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
24,Romelu Lukaku,Chelsea,aerial_won,0.2807017543859649,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
25,Yoane Wissa,Brentford,goals,0.30434782608695654,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
26,Yoane Wissa,Brentford,gca,0.16,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
