,player,value,Unnamed: 0,index,club_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id,Squad,Normal,Scaled,Normalized,total
0,Aaron Ramsdale,0.3454996569380097,92,22294,Arsenal FC,23.0,Goalkeeper,Sheff Utd,€28.00m,in,Summer,28.0,Premier League,2021,2021/2022,79,Arsenal FC,3,12,0.30000000000000004,0.6454996569380098
1,Adam Armstrong,0.11401041608564727,141,22676,Southampton FC,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69,Southampton FC,0,9,0.22400000000000003,0.3380104160856473
2,Albert Sambi Lokonga,0.1423794005183575,94,22296,Arsenal FC,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66,Arsenal FC,3,12,0.30000000000000004,0.44237940051835756
3,Alphonse Areola,0.010888017938576031,157,22771,West Ham United,28.0,Goalkeeper,Paris SG,Loan fee:€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10,West Ham United,-1,8,0.2,0.21088801793857603
4,Angus Gunn,0.09827758020909722,137,22631,Norwich City,25.0,Goalkeeper,Southampton,€5.85m,in,Summer,5.85,Premier League,2021,2021/2022,31,Norwich City,-9,0,0.0,0.09827758020909722
5,Ben Gibson,0.289533115879778,135,22629,Norwich City,28.0,Centre-Back,Burnley,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41,Norwich City,-9,0,0.0,0.289533115879778
6,Ben White,0.30543987648638055,90,22292,Arsenal FC,23.0,Centre-Back,Brighton,€58.50m,in,Summer,58.5,Premier League,2021,2021/2022,96,Arsenal FC,3,12,0.30000000000000004,0.6054398764863806
7,Boubakary Soumaré,0.1326700808354101,124,22520,Leicester City,22.0,Defensive Midfield,LOSC Lille,€20.00m,in,Summer,20.0,Premier League,2021,2021/2022,73,Leicester City,-3,6,0.15200000000000002,0.2846700808354101
8,Christos Tzolis,0.04681295347173014,132,22626,Norwich City,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49,Norwich City,-9,0,0.0,0.04681295347173014
9,Connor Roberts,0.17311419366561118,110,22402,Burnley FC,25.0,Right-Back,Swansea,€2.90m,in,Summer,2.9,Premier League,2021,2021/2022,14,Burnley FC,-9,0,0.0,0.17311419366561118
10,Craig Dawson,0.3066641721893354,156,22770,West Ham United,31.0,Centre-Back,Watford,€2.30m,in,Summer,2.3,Premier League,2021,2021/2022,13,West Ham United,-1,8,0.2,0.5066641721893355
11,Cristiano Ronaldo,0.28142691457179325,130,22588,Manchester United,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58,Manchester United,-4,5,0.124,0.40542691457179325
12,Daniel James,0.23380285744824883,119,22495,Leeds United,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80,Leeds United,-8,1,0.024,0.2578028574482488
13,Danny Ings,0.20849881303692044,98,22317,Aston Villa,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82,Aston Villa,-3,6,0.15200000000000002,0.36049881303692044
14,Demarai Gray,0.27506951454113776,118,22474,Everton FC,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10,Everton FC,-6,3,0.07600000000000001,0.3510695145411378
15,Emmanuel Dennis,0.3276320620555915,149,22722,Watford FC,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22,Watford FC,-9,0,0.0,0.3276320620555915
16,Enock Mwepu,0.1522560617881105,103,22361,Brighton & Hove Albion,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74,Brighton & Hove Albion,7,16,0.4,0.5522560617881105
17,Francisco Trincão,0.170948113144462,160,22783,Wolverhampton Wanderers,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33,Wolverhampton Wanderers,3,12,0.30000000000000004,0.47094811314446205
18,Frank Onyeka,0.1091953987614852,101,22342,Brentford FC,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45,Brentford FC,1,10,0.252,0.3611953987614852
19,Ibrahima Konaté,0.1296199128920654,126,22534,Liverpool FC,22.0,Centre-Back,RB Leipzig,€40.00m,in,Summer,40.0,Premier League,2021,2021/2022,92,Liverpool FC,1,10,0.252,0.3816199128920654
20,Jack Grealish,0.30624967054962965,127,22556,Manchester City,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99,Manchester City,0,9,0.22400000000000003,0.5302496705496297
21,Jack Harrison,0.3641543015911433,121,22497,Leeds United,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54,Leeds United,-8,1,0.024,0.38815430159114334
