,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
90,22292,Arsenal FC,Ben White,23.0,Centre-Back,Brighton,€58.50m,in,Summer,58.5,Premier League,2021,2021/2022,96
91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
92,22294,Arsenal FC,Aaron Ramsdale,23.0,Goalkeeper,Sheff Utd,€28.00m,in,Summer,28.0,Premier League,2021,2021/2022,79
93,22295,Arsenal FC,Takehiro Tomiyasu,22.0,Right-Back,Bologna,€18.60m,in,Summer,18.6,Premier League,2021,2021/2022,71
94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
95,22297,Arsenal FC,Nuno Tavares,21.0,Left-Back,Benfica,€8.00m,in,Summer,8.0,Premier League,2021,2021/2022,39
96,22315,Aston Villa,Emiliano Buendía,24.0,Right Winger,Norwich,€38.40m,in,Summer,38.4,Premier League,2021,2021/2022,91
97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
99,22340,Brentford FC,Kristoffer Ajer,23.0,Centre-Back,Celtic,€15.70m,in,Summer,15.7,Premier League,2021,2021/2022,61
100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
102,22343,Brentford FC,Álvaro Fernández,23.0,Goalkeeper,SD Huesca,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
104,22362,Brighton & Hove Albion,Marc Cucurella,23.0,Left-Back,Getafe,€18.00m,in,Summer,18.0,Premier League,2021,2021/2022,70
105,22363,Brighton & Hove Albion,Abdallah Sima,20.0,Right Winger,Slavia Prague,€8.00m,in,Summer,8.0,Premier League,2021,2021/2022,39
106,22364,Brighton & Hove Albion,Kjell Scherpen,21.0,Goalkeeper,Ajax,€5.00m,in,Summer,5.0,Premier League,2021,2021/2022,26
107,22365,Brighton & Hove Albion,Kaoru Mitoma,24.0,Left Winger,Kawasaki Front.,€3.00m,in,Summer,3.0,Premier League,2021,2021/2022,16
108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
109,22401,Burnley FC,Nathan Collins,20.0,Centre-Back,Stoke City,€14.00m,in,Summer,14.0,Premier League,2021,2021/2022,55
110,22402,Burnley FC,Connor Roberts,25.0,Right-Back,Swansea,€2.90m,in,Summer,2.9,Premier League,2021,2021/2022,14
