,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
0,12888,Bayern Munich,Dayot Upamecano,22,Centre-Back,RB Leipzig,€42.50m,in,Summer,42.5,Bundesliga,2021,2021/2022,90
1,12889,Bayern Munich,Marcel Sabitzer,27,Central Midfield,RB Leipzig,€15.00m,in,Summer,15,Bundesliga,2021,2021/2022,80
2,12910,RB Leipzig,André Silva,25,Centre-Forward,E. Frankfurt,€23.00m,in,Summer,23,Bundesliga,2021,2021/2022,87
3,12911,RB Leipzig,Josko Gvardiol,19,Centre-Back,Dinamo Zagreb,€18.80m,in,Summer,18.8,Bundesliga,2021,2021/2022,86
4,12912,RB Leipzig,Angeliño,24,Left-Back,Man City,€18.00m,in,Summer,18,Bundesliga,2021,2021/2022,85
5,12913,RB Leipzig,Ilaix Moriba,18,Central Midfield,Barcelona B,€16.00m,in,Summer,16,Bundesliga,2021,2021/2022,83
6,12914,RB Leipzig,Mohamed Simakan,21,Centre-Back,R. Strasbourg,€15.00m,in,Summer,15,Bundesliga,2021,2021/2022,80
7,12915,RB Leipzig,Benjamin Henrichs,24,Right-Back,Monaco,€15.00m,in,Summer,15,Bundesliga,2021,2021/2022,80
8,12916,RB Leipzig,Caden Clark,18,Attacking Midfield,New York RB,€1.82m,in,Summer,1.82,Bundesliga,2021,2021/2022,40
9,12939,Borussia Dortmund,Donyell Malen,22,Centre-Forward,PSV Eindhoven,€30.00m,in,Summer,30,Bundesliga,2021,2021/2022,89
10,12940,Borussia Dortmund,Gregor Kobel,23,Goalkeeper,VfB Stuttgart,€15.00m,in,Summer,15,Bundesliga,2021,2021/2022,80
11,12955,VfL Wolfsburg,Sebastiaan Bornauw,22,Centre-Back,1. FC Köln,€13.50m,in,Summer,13.5,Bundesliga,2021,2021/2022,78
12,12956,VfL Wolfsburg,Luca Waldschmidt,25,Second Striker,Benfica,€12.00m,in,Summer,12,Bundesliga,2021,2021/2022,76
13,12957,VfL Wolfsburg,Aster Vranckx,18,Central Midfield,KV Mechelen,€8.00m,in,Summer,8,Bundesliga,2021,2021/2022,72
14,12958,VfL Wolfsburg,Lukas Nmecha,22,Centre-Forward,Man City,€8.00m,in,Summer,8,Bundesliga,2021,2021/2022,72
15,12959,VfL Wolfsburg,Maximilian Philipp,27,Second Striker,Dynamo Moscow,€7.50m,in,Summer,7.5,Bundesliga,2021,2021/2022,69
16,12960,VfL Wolfsburg,Micky van de Ven,20,Centre-Back,FC Volendam,€3.50m,in,Summer,3.5,Bundesliga,2021,2021/2022,53
17,12991,Eintracht Frankfurt,Jesper Lindström,21,Attacking Midfield,Bröndby IF,€7.00m,in,Summer,7,Bundesliga,2021,2021/2022,66
18,12992,Eintracht Frankfurt,Sam Lammers,24,Centre-Forward,Atalanta BC,Loan fee:€3.60m,in,Summer,3.6,Bundesliga,2021,2021/2022,55
19,12993,Eintracht Frankfurt,Jens Petter Hauge,21,Right Winger,AC Milan,Loan fee:€2.00m,in,Summer,2,Bundesliga,2021,2021/2022,41
20,12994,Eintracht Frankfurt,Igor Matanovic,18,Centre-Forward,FC St. Pauli,€500Th.,in,Summer,0.5,Bundesliga,2021,2021/2022,19
21,12995,Eintracht Frankfurt,Jens Grahl,32,Goalkeeper,VfB Stuttgart,€250Th.,in,Summer,0.25,Bundesliga,2021,2021/2022,8
22,12996,Eintracht Frankfurt,Diant Ramaj,19,Goalkeeper,1.FC Heidenheim,€100Th.,in,Summer,0.1,Bundesliga,2021,2021/2022,3
23,13028,Bayer 04 Leverkusen,Odilon Kossounou,20,Centre-Back,Club Brugge,€23.00m,in,Summer,23,Bundesliga,2021,2021/2022,87
24,13029,Bayer 04 Leverkusen,Amine Adli,21,Right Winger,Toulouse,€7.50m,in,Summer,7.5,Bundesliga,2021,2021/2022,69
25,13030,Bayer 04 Leverkusen,Mitchel Bakker,21,Left-Back,Paris SG,€7.00m,in,Summer,7,Bundesliga,2021,2021/2022,66
26,13031,Bayer 04 Leverkusen,Robert Andrich,26,Central Midfield,Union Berlin,€6.50m,in,Summer,6.5,Bundesliga,2021,2021/2022,63
27,13032,Bayer 04 Leverkusen,Piero Hincapié,19,Centre-Back,CA Talleres,€6.35m,in,Summer,6.35,Bundesliga,2021,2021/2022,62
28,13033,Bayer 04 Leverkusen,Zidan Sertdemir,16,Central Midfield,Nordsjaell. U19,€2.50m,in,Summer,2.5,Bundesliga,2021,2021/2022,46
29,13051,1.FC Union Berlin,Taiwo Awoniyi,23,Centre-Forward,Liverpool,€8.55m,in,Summer,8.55,Bundesliga,2021,2021/2022,74
